WellNum,Date,DarkSlope,LightSlope,Respiration,GrossPhoto,NetPhoto,Count1,Count2
c14,21-Jan,0.017,0.2854,-0.073433333,-0.034291667,0.039141667,13,9
15,21-Jan,0.131,0.5037,0.040566667,0.184008333,0.143441667,17,35
c17,21-Jan,-0.1444,0.406,-0.234833333,0.086308333,0.321141667,22,37
16,21-Jan,-0.1207,0.1055,-0.211133333,-0.214191667,-0.003058333,14,18
c18,21-Jan,-0.0437,0.1131,-0.134133333,-0.206591667,-0.072458333,37,48
18,21-Jan,-0.0084,0.2306,-0.098833333,-0.089091667,0.009741667,10,10
c20,21-Jan,0.0303,0.198,-0.060133333,-0.121691667,-0.061558333,27,21
20,21-Jan,-0.0502,0.1223,-0.140633333,-0.197391667,-0.056758333,20,24
c21,21-Jan,0.0904,0.2937,-3.33E-05,-0.025991667,-0.025958333,NA,NA
22,21-Jan,-0.0727,0.2319,-0.163133333,-0.087791667,0.075341667,35,38
c23,21-Jan,-0.0565,0.322,-0.146933333,0.002308333,0.149241667,36,41
24,21-Jan,0.0539,0.2608,-0.036533333,-0.058891667,-0.022358333,11,11
27,20-Jan,-1.0405,0.5814,-1.0405,0.5814,1.6219,95,111
52,20-Jan,0.0351,0.3447,0.0351,0.3447,0.3096,46,73
28,20-Jan,0.1199,0.3577,0.1199,0.3577,0.2378,12,12
53,20-Jan,0.4269,0.5775,0.4269,0.5775,0.1506,NA,NA
29,20-Jan,-0.4385,0.0698,-0.4385,0.0698,0.5083,58,80
54,20-Jan,0.1746,0.4084,0.1746,0.4084,0.2338,103,110
32,20-Jan,0.1768,0.3636,0.1768,0.3636,0.1868,70,91
56,20-Jan,0.0627,0.29,0.0627,0.29,0.2273,63,54
33,20-Jan,-0.2731,1.1964,-0.2731,1.1964,1.4695,114,138
57,20-Jan,0.0246,0.2234,0.0246,0.2234,0.1988,48,56
34,20-Jan,-0.0241,0.5378,-0.0241,0.5378,0.5619,88,84
60,20-Jan,0.0878,0.3378,0.0878,0.3378,0.25,59,58
c1,20-Jan,-0.0335,0.4908,-0.174075,0.040666667,0.214741667,31,27
2,20-Jan,-0.0125,0.6325,-0.153075,0.182366667,0.335441667,66,71
c5,20-Jan,0.0435,0.5216,-0.097075,0.071466667,0.168541667,25,25
5,20-Jan,-0.0569,0.3668,-0.197475,-0.083333333,0.114141667,32,59
c6,20-Jan,0.1053,0.2573,-0.035275,-0.192833333,-0.157558333,46,40
6,20-Jan,0.0961,0.395,-0.044475,-0.055133333,-0.010658333,8,10
c7,20-Jan,-0.1103,0.3868,-0.250875,-0.063333333,0.187541667,18,17
8,20-Jan,-0.0271,0.4024,-0.167675,-0.047733333,0.119941667,65,54
c11,20-Jan,0.1349,0.4266,-0.005675,-0.023533333,-0.017858333,24,23
10,20-Jan,-0.2817,0.5746,-0.422275,0.124466667,0.546741667,62,69
c12,20-Jan,-0.1094,0.2645,-0.249975,-0.185633333,0.064341667,15,10
12,20-Jan,-0.2029,0.3935,-0.343475,-0.056633333,0.286841667,61,71
75,20-Jan,-0.2258,0.46,-0.424891667,0.07315,0.498041667,65,51
97,20-Jan,-0.1592,0.5367,-0.358291667,0.14985,0.508141667,126,149
76,20-Jan,-0.1318,0.4519,-0.330891667,0.06505,0.395941667,43,66
101,20-Jan,-0.1104,0.1814,-0.309491667,-0.20545,0.104041667,61,81
77,20-Jan,-0.1834,0.2318,-0.382491667,-0.15505,0.227441667,55,80
102,20-Jan,0.165,0.252,-0.034091667,-0.13485,-0.100758333,12,13
79,20-Jan,-0.5285,0.5746,-0.727591667,0.18775,0.915341667,55,57
104,20-Jan,0.1712,0.2676,-0.027891667,-0.11925,-0.091358333,119,114
81,20-Jan,0.1871,0.225,-0.011991667,-0.16185,-0.149858333,67,63
105,20-Jan,-0.5019,0.1667,-0.700991667,-0.22015,0.480841667,129,155
84,20-Jan,0.0733,0.3169,-0.125791667,-0.06995,0.055841667,83,96
108,20-Jan,0.002,0.268,-0.197091667,-0.11885,0.078241667,40,54
145,20-Jan,0.4768,0.5423,0.102691667,0.0783,-0.024391667,56,56
169,20-Jan,0.2311,0.3728,-0.143008333,-0.0912,0.051808333,42,46
147,20-Jan,0.2121,0.2851,-0.162008333,-0.1789,-0.016891667,20,36
172,20-Jan,0.0843,0.391,-0.289808333,-0.073,0.216808333,53,39
149,20-Jan,0.1682,0.497,-0.205908333,0.033,0.238908333,74,56
174,20-Jan,-0.0887,0.2189,-0.462808333,-0.2451,0.217708333,19,45
153,20-Jan,-0.3066,0.6489,-0.680708333,0.1849,0.865608333,74,71
175,20-Jan,0.3015,0.839,-0.072608333,0.375,0.447608333,26,18
154,20-Jan,0.3733,0.3323,-0.000808333,-0.1317,-0.130891667,42,66
177,20-Jan,0.2623,-0.1934,-0.111808333,-0.6574,-0.545591667,50,45
155,20-Jan,0.6356,0.4588,0.261491667,-0.0052,-0.266691667,27,23
180,20-Jan,0.4107,0.6373,0.036591667,0.1733,0.136708333,31,30
c25,20-Jan,0.3611,0.4535,-0.008433333,0.031158333,0.039591667,68,62
121,20-Jan,0.2855,0.5221,-0.084033333,0.099758333,0.183791667,55,49
c26,20-Jan,0.4034,0.4545,0.033866667,0.032158333,-0.001708333,66,89
125,20-Jan,0.3049,0.4942,-0.064633333,0.071858333,0.136491667,13,7
c27,20-Jan,0.1856,0.3715,-0.183933333,-0.050841667,0.133091667,71,113
126,20-Jan,-0.0476,0.4598,-0.417133333,0.037458333,0.454591667,10,6
c33,20-Jan,0.3552,0.1496,-0.014333333,-0.272741667,-0.258408333,49,59
127,20-Jan,-0.153,0.5525,-0.522533333,0.130158333,0.652691667,32,14
c35,20-Jan,0.4922,0.3871,0.122666667,-0.035241667,-0.157908333,4,5
129,20-Jan,0.2855,0.2638,-0.084033333,-0.158541667,-0.074508333,49,44
c36,20-Jan,0.3322,0.2337,-0.037333333,-0.188641667,-0.151308333,11,9
131,20-Jan,0.3286,0.3006,-0.040933333,-0.121741667,-0.080808333,16,23
194,20-Jan,0.4619,0.5468,-0.029241667,0.062016667,0.091258333,25,16
218,20-Jan,0.2351,0.8547,-0.256041667,0.369916667,0.625958333,46,42
195,20-Jan,0.2722,0.6531,-0.218941667,0.168316667,0.387258333,21,32
219,20-Jan,-0.1019,0.5006,-0.593041667,0.015816667,0.608858333,62,50
198,20-Jan,0.0602,0.2992,-0.430941667,-0.185583333,0.245358333,20,12
220,20-Jan,0.3834,0.4896,-0.107741667,0.004816667,0.112558333,2,6
200,20-Jan,0.3559,0.1975,-0.135241667,-0.287283333,-0.152041667,23,34
223,20-Jan,0.4501,0.3367,-0.041041667,-0.148083333,-0.107041667,3,11
201,20-Jan,0.3703,0.3393,-0.120841667,-0.145483333,-0.024641667,62,43
224,20-Jan,0.5392,0.4564,0.048058333,-0.028383333,-0.076441667,31,22
204,20-Jan,0.3751,0.4193,-0.116041667,-0.065483333,0.050558333,31,34
228,20-Jan,0.4403,0.3479,-0.050841667,-0.136883333,-0.086041667,10,6
37,21-Jan,-0.0604,0.236,-0.162841667,-0.1856,-0.022758333,21,35
61,21-Jan,0.1218,0.3714,0.019358333,-0.0502,-0.069558333,13,21
38,21-Jan,-0.1124,0.3017,-0.214841667,-0.1199,0.094941667,19,35
64,21-Jan,0.002,0.464,-0.100441667,0.0424,0.142841667,4,18
41,21-Jan,0.0252,0.3515,-0.077241667,-0.0701,0.007141667,1,3
65,21-Jan,-0.1719,0.3387,-0.274341667,-0.0829,0.191441667,12,15
45,21-Jan,0.0266,0.3035,-0.075841667,-0.1181,-0.042258333,1,3
68,21-Jan,0.0409,0.3107,-0.061541667,-0.1109,-0.049358333,14,17
47,21-Jan,0.0121,0.3346,-0.090341667,-0.087,0.003341667,24,20
70,21-Jan,-0.0681,0.2868,-0.170541667,-0.1348,0.035741667,13,27
48,21-Jan,-0.05,0.3641,-0.152441667,-0.0575,0.094941667,8,6
72,21-Jan,-0.1016,0.3732,-0.204041667,-0.0484,0.155641667,31,26
85,21-Jan,-0.0017,0.4385,-0.166783333,0.154641667,0.321425,14,6
109,21-Jan,-0.1173,0.2402,-0.282383333,-0.043658333,0.238725,27,52
88,21-Jan,0.0371,0.3324,-0.127983333,0.048541667,0.176525,12,8
110,21-Jan,0.1106,0.3209,-0.054483333,0.037041667,0.091525,9,19
90,21-Jan,0.145,0.2011,-0.020083333,-0.082758333,-0.062675,15,12
114,21-Jan,-0.0869,0.2044,-0.251983333,-0.079458333,0.172525,4,7
92,21-Jan,0.0946,0.4066,-0.070483333,0.122741667,0.193225,10,15
118,21-Jan,-0.0256,0.1424,-0.190683333,-0.141458333,0.049225,16,28
93,21-Jan,0.1566,0.2356,-0.008483333,-0.048258333,-0.039775,8,2
119,21-Jan,-0.0106,0.3338,-0.175683333,0.049941667,0.225625,7,10
95,21-Jan,0.1251,0.1437,-0.039983333,-0.140158333,-0.100175,4,8
120,21-Jan,-0.2073,0.1534,-0.372383333,-0.130458333,0.241925,27,40
c38,21-Jan,0.2324,0.3889,-0.019316667,0.076375,0.095691667,4,9
134,21-Jan,0.2136,0.4281,-0.038116667,0.115575,0.153691667,6,10
c39,21-Jan,0.258,0.337,0.006283333,0.024475,0.018191667,23,53
135,21-Jan,0.2706,0.3262,0.018883333,0.013675,-0.005208333,16,14
c41,21-Jan,0.2124,0.0421,-0.039316667,-0.270425,-0.231108333,7,13
138,21-Jan,-0.1202,0.4586,-0.371916667,0.146075,0.517991667,20,19
c43,21-Jan,0.0806,0.2106,-0.171116667,-0.101925,0.069191667,50,47
139,21-Jan,0.3861,0.3213,0.134383333,0.008775,-0.125608333,44,39
c44,21-Jan,0.2945,0.2648,0.042783333,-0.047725,-0.090508333,23,21
142,21-Jan,0.1273,0.1285,-0.124416667,-0.184025,-0.059608333,48,44
c46,21-Jan,0.1773,0.1561,-0.074416667,-0.156425,-0.082008333,19,20
143,21-Jan,0.1392,0.3856,-0.112516667,0.073075,0.185591667,34,21
157,21-Jan,0.2647,0.3546,-0.0155,0.05195,0.06745,5,4
181,21-Jan,-0.0475,0.3793,-0.3277,0.07665,0.40435,23,29
159,21-Jan,0.3057,0.2972,0.0255,-0.00545,-0.03095,4,7
184,21-Jan,0.3216,0.3773,0.0414,0.07465,0.03325,23,16
162,21-Jan,0.2451,0.2465,-0.0351,-0.05615,-0.02105,10,16
186,21-Jan,-0.1486,0.1418,-0.4288,-0.16085,0.26795,43,51
166,21-Jan,0.2317,0.2231,-0.0485,-0.07955,-0.03105,12,15
187,21-Jan,0.1734,0.2576,-0.1068,-0.04505,0.06175,23,24
167,21-Jan,0.0996,0.2335,-0.1806,-0.06915,0.11145,35,23
189,21-Jan,0.1131,0.4551,-0.1671,0.15245,0.31955,22,27
168,21-Jan,0.2431,0.228,-0.0371,-0.07465,-0.03755,NA,NA
192,21-Jan,0.1837,0.2657,-0.0965,-0.03695,0.05955,41,61
206,21-Jan,0.5197,0.5416,0.010875,0.008233333,-0.002641667,19,26
229,21-Jan,0.4028,0.2096,-0.106025,-0.323766667,-0.217741667,31,16
208,21-Jan,0.6274,0.5187,0.118575,-0.014666667,-0.133241667,13,11
230,21-Jan,0.8091,0.5088,0.300275,-0.024566667,-0.324841667,27,46
207,21-Jan,0.6089,0.5787,0.100075,0.045333333,-0.054741667,7,11
232,21-Jan,0.5996,0.5041,0.090775,-0.029266667,-0.120041667,6,2
212,21-Jan,0.4879,0.4795,-0.020925,-0.053866667,-0.032941667,14,8
235,21-Jan,0.5691,0.5513,0.060275,0.017933333,-0.042341667,39,51
214,21-Jan,0.6039,0.5352,0.095075,0.001833333,-0.093241667,18,35
236,21-Jan,0.7248,0.5525,0.215975,0.019133333,-0.196841667,31,42
216,21-Jan,0.381,0.6841,-0.127825,0.150733333,0.278558333,6,5
237,21-Jan,0.0976,0.549,-0.411225,0.015633333,0.426858333,11,8
c49,21-Jan,0.3324,0.5944,-0.049466667,0.016508333,0.065975,24,34
242,21-Jan,0.3172,0.5745,-0.064666667,-0.003391667,0.061275,0.889,0.667
c52,21-Jan,0.3441,0.5599,-0.037766667,-0.017991667,0.019775,5,6
244,21-Jan,0.3812,0.5826,-0.000666667,0.004708333,0.005375,18,24
c53,21-Jan,0.3812,0.4418,-0.000666667,-0.136091667,-0.135425,17,32
245,21-Jan,0.3739,0.5298,-0.007966667,-0.048091667,-0.040125,10,13
c55,21-Jan,0.3828,0.4944,0.000933333,-0.083491667,-0.084425,17,35
247,21-Jan,0.3945,0.5307,0.012633333,-0.047191667,-0.059825,4,7
c56,21-Jan,0.2503,0.5583,-0.131566667,-0.019591667,0.111975,47,49
248,21-Jan,0.3801,0.4987,-0.001766667,-0.079191667,-0.077425,14,11
c58,21-Jan,0.2899,0.5461,-0.091966667,-0.031791667,0.060175,19,19
250,21-Jan,0.1644,0.5833,-0.217466667,0.005408333,0.222875,25,17
265,21-Jan,0.3996,0.6309,-0.051283333,0.008741667,0.060025,1,0.22
291,21-Jan,0.3763,0.5909,-0.074583333,-0.031258333,0.043325,37,32
267,21-Jan,0.377,0.7162,-0.073883333,0.094041667,0.167925,39,47
292,21-Jan,0.4145,0.5881,-0.036383333,-0.034058333,0.002325,NA,NA
270,21-Jan,0.5174,0.6002,0.066516667,-0.021958333,-0.088475,38,26
294,21-Jan,0.4086,0.642,-0.042283333,0.019841667,0.062125,16,15
273,21-Jan,0.5032,0.5696,0.052316667,-0.052558333,-0.104875,29,58
297,21-Jan,0.4848,0.6804,0.033916667,0.058241667,0.024325,5,4
274,21-Jan,0.5007,0.6117,0.049816667,-0.010458333,-0.060275,25,24
298,21-Jan,0.4952,0.5976,0.044316667,-0.024558333,-0.068875,8,6
276,21-Jan,0.4055,0.5566,-0.045383333,-0.065558333,-0.020175,36,36
299,21-Jan,0.4804,0.631,0.029516667,0.008841667,-0.020675,4,3
314,21-Jan,0.5993,0.7106,0.028566667,0.10585,0.077283333,6,8
337,21-Jan,0.5052,0.5958,-0.065533333,-0.00895,0.056583333,13,14
316,21-Jan,0.6106,0.6136,0.039866667,0.00885,-0.031016667,18,13
338,21-Jan,0.5087,0.4574,-0.062033333,-0.14735,-0.085316667,41,49
318,21-Jan,0.3228,0.7836,-0.247933333,0.17885,0.426783333,12,21
341,21-Jan,0.6184,0.6329,0.047666667,0.02815,-0.019516667,20,36
319,21-Jan,0.56,0.9144,-0.010733333,0.30965,0.320383333,32,26
343,21-Jan,0.6186,0.5887,0.047866667,-0.01605,-0.063916667,26,37
322,21-Jan,0.6027,0.5907,0.031966667,-0.01405,-0.046016667,25,17
346,21-Jan,0.3284,0.2716,-0.242333333,-0.33315,-0.090816667,28,17
323,21-Jan,0.5268,0.5453,-0.043933333,-0.05945,-0.015516667,17,16
348,21-Jan,0.3095,0.5949,-0.261233333,-0.00985,0.251383333,10,9
c61,22-Jan-20,0.2218,0.3931,-0.040833333,-0.019625,0.021208333,36,30
256,22-Jan-20,0.3152,0.4202,0.052566667,0.007475,-0.045091667,7,7
c65,22-Jan-20,0.2775,0.4153,0.014866667,0.002575,-0.012291667,25,13
255,22-Jan-20,0.2624,0.4531,-0.000233333,0.040375,0.040608333,7,8
c66,22-Jan-20,0.3427,0.4375,0.080066667,0.024775,-0.055291667,17,20
257,22-Jan-20,0.3397,0.4502,0.077066667,0.037475,-0.039591667,11,13
c67,22-Jan-20,0.5389,0.4366,0.276266667,0.023875,-0.252391667,14,20
260,22-Jan-20,0.2586,0.4643,-0.004033333,0.051575,0.055608333,2.44,2
c69,22-Jan-20,0.2595,0.2856,-0.003133333,-0.127125,-0.123991667,10,9
263,22-Jan-20,0.3202,0.4421,0.057566667,0.029375,-0.028191667,17,21
